ruta,cohorte,estrato,serie_real,numero_real,tipo_real,requiere_contexto,parser_serie,parser_numero,veredicto,sha256
"/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Otros Superhéroes/Arrowsmith (COMPLETO)(CRG)/Arrowsmith (ECC) [Tildoras, CRG](1).cbr",arrowsmith completo crg,B_pequena,Arrowsmith,,tomo,False,Arrowsmith,,correcto_sin_numero,0e8222a279243a5f
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bella Muerte - Volumen 1 (Astiberri) por Carlos_1981 [CRG](1).cbr,bella muerte,B_pequena,Bella Muerte,1,tomo,False,Bella Muerte,1,ok,a844deb866734f3f
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 01 [por Carlos_1981][CRG](1).cbr,caballero luna vol3,B_pequena,Caballero Luna,1,grapa,False,Caballero Luna,1,ok,1dfd8ec8d52ada36
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/The Fall (Planeta) [por capdiajo & redvirux] [CRG].cbr,comic independiente americano,B_pequena,The Fall,,obra_unica,False,The Fall,,correcto_sin_numero,aa7a352f441e1840
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Isaac Sanchez/Taxus..La.Historia.completa.-.Isaac.Sanchez.[Umbriel.&.jbabylon5][CRG].cbr,isaac sanchez,B_pequena,Taxus,,tomo,False,Taxus La Historia completa,,serie_mal_sin_numero,04eab905f3add9fb
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 02 [por Carlos_1981][CRG].cbr,caballero luna vol3,B_pequena,Caballero Luna,2,grapa,False,Caballero Luna,2,ok,a854ed84bad006e2
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 03 [por Carlos_1981][CRG](1).cbr,caballero luna vol3,B_pequena,Caballero Luna,3,grapa,False,Caballero Luna,3,ok,9ee9848ede01abdf
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bella muerte - Volumen 2 El oso (Astiberri) [por capdiajo y Tildoras] [CRG].cbr,bella muerte,B_pequena,Bella Muerte,2,tomo,False,Bella muerte,2,ok,977f1f3d24053260
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/Horizontes Lejanos - Avtras cap Torrezno I Pin.cbr,las aventuras del capitan torrexno,B_pequena,Las Aventuras del Capitán Torrezno,1,tomo,True,Horizontes Lejanos,,serie_mal_sin_numero,616025b92bdb517a
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Europeo/Moebius-Giraud/El Incal/El.Incal.(Integral).-.Jodorowsky.&.Moebius.[jbabylon5][16º.Aniversario.CRG](1).cbr,el incal,B_pequena,El Incal,,tomo,False,El Incal,,correcto_sin_numero,3844a95166a545bb
"/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Vertigo/Neil Gaiman/Estudio en Esmeralda [traducido por Gb, Letho y Vander][Infinity Cómics](1).cb7",neil gaiman,B_pequena,Estudio en Esmeralda,,obra_unica,False,Estudio en Esmeralda,,correcto_sin_numero,ba828758faacbae4
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/_Las aventuras del capitan Torrezno_Escala Real___S Valenzuela_cilurnigo.cbz,las aventuras del capitan torrexno,B_pequena,Las aventuras del capitan Torrezno,,tomo,False,Las aventuras del capitan Torrezno Escala Real S Valenzuela cilurnigo,,serie_mal_sin_numero,3f53f17f8277fffd
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Vertigo/Daytripper (por Aruso) CRG 8º Aniversario.cbr,vertigo,B_pequena,Daytripper,,obra_unica,False,Daytripper,,correcto_sin_numero,99e38396d5adaac1
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Isaac Sanchez/El.regreso.del.hombre.pez.-.Isaac.Sanchez.[jbabylon5][CRG].cbr,isaac sanchez,B_pequena,El regreso del hombre pez,,obra_unica,False,El regreso del hombre pez,,correcto_sin_numero,3d58e585646dca99
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Tillie Walden/En un Rayo de sol/En un rayo de sol Vol.1 - Tillie Walden [xavib].cbr,en un rayo de sol,B_pequena,En un rayo de sol,1,tomo,False,En un rayo de sol,,numero_perdido,5bd786ecc892ee76
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/_Las aventuras del capitan Torrezno_Escala Real___S Valenzuela_cilurnigo(1).cbz,las aventuras del capitan torrexno,B_pequena,Las aventuras del capitan Torrezno,,tomo,False,Las aventuras del capitan Torrezno Escala Real S Valenzuela cilurnigo,,serie_mal_sin_numero,3f53f17f8277fffd
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bribones - el corazon de un dios - por Jiman(CRG - FPJ)(1).cbr,bella muerte,B_pequena,Bribones,,obra_unica,False,Bribones,,correcto_sin_numero,477f57c017ba6dcf
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/Horizontes Lejanos - Avtras cap Torrezno I Pin(1).cbr,las aventuras del capitan torrexno,B_pequena,Las Aventuras del Capitán Torrezno,1,tomo,True,Horizontes Lejanos,,serie_mal_sin_numero,616025b92bdb517a
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Santiago Sequeiros/La Mala Pena/La Mala Pena 2 [por zaragway][CRG](1).cbr,la mala pena,B_pequena,La Mala Pena,2,tomo,False,La Mala Pena,2,ok,9503fc993a703f68
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Laura.Dean.me.ha.vuelto.a.dejar.-.Mariko.Tamaki.&.Rosemary.Valero-O´Connell.[jbabylon5][CRG].cbr,comic independiente americano,B_pequena,Laura Dean me ha vuelto a dejar,,obra_unica,False,Laura Dean me ha vuelto a dejar,,correcto_sin_numero,4b521801ca25c49f
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Tillie Walden/En un Rayo de sol/En un rayo de sol Vol.1 - Tillie Walden [xavib](1).cbr,en un rayo de sol,B_pequena,En un rayo de sol,1,tomo,False,En un rayo de sol,,numero_perdido,5bd786ecc892ee76
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #082.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,Death Note,82,grapa,False,Death Note,82,ok,0e87fb19674b43b7
/mnt/Datos/Descargas/Tebeos/Tebeos/075.- Flash v2 067 - Er-Murazor &amp; Boo$Ter Gold.cbr,tebeos,D_grande,Flash,67,grapa,False,Flash,67,ok,033f2dcf5fd2d040
/mnt/Datos/Descargas/Tebeos/Tebeos/JSA 81 (2006) (Lightray-DCP).cbr,tebeos,D_grande,JSA,81,grapa,False,JSA,81,ok,c2c57cb1cf61ee77
/mnt/Datos/Descargas/Tebeos/Tebeos/78 Jim Starlin's Dreadstar (Malibu Comics)(02 Ed.Norma) [por Onslaught][CRG].cbr,tebeos,D_grande,Dreadstar,2,grapa,False,78 Jim Starlin's Dreadstar,,serie_mal_sin_numero,3105d99cda95a242
/mnt/Datos/Descargas/Tebeos/Tebeos/The Wicked + The Divine 030.cbr,tebeos,D_grande,The Wicked + The Divine,30,grapa,False,The Wicked + The Divine,30,ok,2579a88f207a7427
/mnt/Datos/Descargas/Tebeos/Tebeos/The Wicked + The Divine 020.cbr,tebeos,D_grande,The Wicked + The Divine,20,grapa,False,The Wicked + The Divine,20,ok,af38c34c3975f41b
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #065.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,Death Note,65,grapa,False,Death Note,65,ok,af4d09174d75464b
/mnt/Datos/Descargas/Tebeos/Tebeos/Monstress #018 por Zur y Arsenio Lupín.cbr,tebeos,D_grande,Monstress,18,grapa,False,Monstress,18,ok,6d1dc9f395337f30
/mnt/Datos/Descargas/Tebeos/Tebeos/256.- Flash v2 227 por Talphin y KeysersozeCRG.cbr,tebeos,D_grande,Flash,227,grapa,False,Flash,227,ok,c5f75aba10bda168
/mnt/Datos/Descargas/Tebeos/Tebeos/068.- Flash v2 061 por Centigon y KeysersozeCRG.cbr,tebeos,D_grande,Flash,61,grapa,False,Flash,61,ok,0c7ebe3262133daf
/mnt/Datos/Descargas/Tebeos/Tebeos/048.- Flash v2 042.cbr,tebeos,D_grande,Flash,42,grapa,False,Flash,42,ok,8da5e9c7d3a80612
/mnt/Datos/Descargas/Tebeos/Tebeos/Transmetropolitan - #20 - Ciudad Solitaria 2 de 4.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,Transmetropolitan,20,grapa,False,Transmetropolitan,20,ok,72fda8d7ca712d4e
/mnt/Datos/Descargas/Tebeos/Tebeos/40 - Incorruptible #18.cbz,tebeos,D_grande,Incorruptible,18,grapa,False,Incorruptible,18,ok,4f3c11d0ecae0b3f
/mnt/Datos/Descargas/Tebeos/Tebeos/74 Dreadstar (First Comics) 62 USA [Trad por Skullpirates y Howard el patero s.][8vo Aniv CRG].cbz,tebeos,D_grande,Dreadstar,62,grapa,False,74 Dreadstar,62,error_serie,e31dd9fc68e71dc9
/mnt/Datos/Descargas/Tebeos/Tebeos/076.- Flash v2 068 - Er-Murazor &amp; Boo&amp;Ter Gold.cbr,tebeos,D_grande,Flash,68,grapa,False,Flash,68,ok,309136248ac44c16
/mnt/Datos/Descargas/Tebeos/Tebeos/42 Dreadstar (First Comics) 30 USA [Traducido porke yo lo valgo][CRG].cbr,tebeos,D_grande,Dreadstar,30,grapa,False,42 Dreadstar,30,error_serie,d7803a704953b991
/mnt/Datos/Descargas/Tebeos/Tebeos/11 Dreadstar Novela grafica (M.O. III) [Trad por Luindel y Howard el patero solitario][CRG].cbr,tebeos,D_grande,Dreadstar,,obra_unica,False,11 Dreadstar Novela grafica,,serie_mal_sin_numero,51eef62632e1e85f
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #084.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,Death Note,84,grapa,False,Death Note,84,ok,5e24e6f46505cb0b
/mnt/Datos/Descargas/Tebeos/Tebeos/65 Dreadstar (First Comics) 53 USA [Trad por Skullpirates y Howard el patero s.][8vo Aniv CRG].cbz,tebeos,D_grande,Dreadstar,53,grapa,False,65 Dreadstar,53,error_serie,bbe7179794881e45
"/mnt/Datos/Descargas/Tebeos/Tebeos/Hiroaki Samura - La Espada del Inmortal 14 (Spanish, CRG) por Umbriel.cbr",tebeos,D_grande,La Espada del Inmortal,14,tomo,True,Hiroaki Samura,14,error_serie,dac0866264d213c1
/mnt/Datos/Descargas/Tebeos/Tebeos/The Wicked + The Divine 037.cbr,tebeos,D_grande,The Wicked + The Divine,37,grapa,False,The Wicked + The Divine,37,ok,0ca56c2efa6279b5
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #068.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,Death Note,68,grapa,False,Death Note,68,ok,b3bca4e15b3353be
/mnt/Datos/Descargas/Tebeos/Tebeos/224.- Flash v2 189 por Wild_CRG_.cbr,tebeos,D_grande,Flash,189,grapa,False,Flash,189,ok,25bd554625057a76
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #074.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,Death Note,74,grapa,False,Death Note,74,ok,a9c63274e7d43b8d
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #058.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,Death Note,58,grapa,False,Death Note,58,ok,d54e4b1d14b5a23b
/mnt/Datos/Descargas/Tebeos/Tebeos/30 Dreadstar (Epic Comics)(18 Ed.Forum) [por Andtorres3][CRG].cbr,tebeos,D_grande,Dreadstar,18,grapa,False,30 Dreadstar,,serie_mal_sin_numero,d0e803b5a9415cd2
/mnt/Datos/Descargas/Tebeos/Tebeos/Transmetropolitan - #29 - Regreso a los Origenes 7 de 8.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,Transmetropolitan,29,grapa,False,Transmetropolitan,29,ok,e90d3191fdf2c4f4
/mnt/Datos/Descargas/Tebeos/Tebeos/60 - Incorruptible #26.cbz,tebeos,D_grande,Incorruptible,26,grapa,False,Incorruptible,26,ok,f1bc87900acd313f
/mnt/Datos/Descargas/Tebeos/Tebeos/Transmetropolitan - #42 - Sale el Sol 6 de 6.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,Transmetropolitan,42,grapa,False,Transmetropolitan,42,ok,e2d7859891c70105
/mnt/Datos/Descargas/Tebeos/Tebeos/Transmetropolitan - #06 - Mátame a Besos 2 de 2.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,Transmetropolitan,6,grapa,False,Transmetropolitan,6,ok,a7d3483fbf295f59
