ruta,cohorte,estrato,serie_real,numero_real,tipo_real,parser_serie,parser_numero,veredicto
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Europeo/Moebius-Giraud/El Incal/El.Incal.(Integral).-.Jodorowsky.&.Moebius.[jbabylon5][16º.Aniversario.CRG].cbr,el incal,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Santiago Sequeiros/La Mala Pena/La Mala Pena 2 [por zaragway][CRG].cbr,la mala pena,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Tillie Walden/En un Rayo de sol/En un rayo de sol Vol.2 - Tillie Walden [xavib].cbr,en un rayo de sol,B_pequena,,,,,,
"/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Vertigo/El País Libre.- Un Relato de la Cruzada de los Niños (ECC) [Tildoras, CRG].cbr",vertigo,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Los Inhumanos/Los Inhumanos vol.3 por Jiman(CRG)(1).cbr,los inhumanos,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/El Torres/Nancy in Hell Tomo 1.cbr,el torres,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Avengers/EVENTOS - La Era de Ultrón(1).cbr,avengers,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Santiago Sequeiros/La Mala Pena/La Mala Pena 1 [por zaragway][CRG].cbr,la mala pena,B_pequena,,,,,,
"/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Otros Superhéroes/Arrowsmith (COMPLETO)(CRG)/Arrowsmith (ECC) [Tildoras, CRG](1).cbr",arrowsmith completo crg,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bella Muerte - Volumen 1 (Astiberri) por Carlos_1981 [CRG](1).cbr,bella muerte,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 01 [por Carlos_1981][CRG](1).cbr,caballero luna vol3,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/The Fall (Planeta) [por capdiajo & redvirux] [CRG].cbr,comic independiente americano,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Isaac Sanchez/Taxus..La.Historia.completa.-.Isaac.Sanchez.[Umbriel.&.jbabylon5][CRG].cbr,isaac sanchez,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 02 [por Carlos_1981][CRG].cbr,caballero luna vol3,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 03 [por Carlos_1981][CRG](1).cbr,caballero luna vol3,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bella muerte - Volumen 2 El oso (Astiberri) [por capdiajo y Tildoras] [CRG].cbr,bella muerte,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/Horizontes Lejanos - Avtras cap Torrezno I Pin.cbr,las aventuras del capitan torrexno,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Europeo/Moebius-Giraud/El Incal/El.Incal.(Integral).-.Jodorowsky.&.Moebius.[jbabylon5][16º.Aniversario.CRG](1).cbr,el incal,B_pequena,,,,,,
"/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Vertigo/Neil Gaiman/Estudio en Esmeralda [traducido por Gb, Letho y Vander][Infinity Cómics](1).cb7",neil gaiman,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/_Las aventuras del capitan Torrezno_Escala Real___S Valenzuela_cilurnigo.cbz,las aventuras del capitan torrexno,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Vertigo/Daytripper (por Aruso) CRG 8º Aniversario.cbr,vertigo,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Isaac Sanchez/El.regreso.del.hombre.pez.-.Isaac.Sanchez.[jbabylon5][CRG].cbr,isaac sanchez,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Tillie Walden/En un Rayo de sol/En un rayo de sol Vol.1 - Tillie Walden [xavib].cbr,en un rayo de sol,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/_Las aventuras del capitan Torrezno_Escala Real___S Valenzuela_cilurnigo(1).cbz,las aventuras del capitan torrexno,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bribones - el corazon de un dios - por Jiman(CRG - FPJ)(1).cbr,bella muerte,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/Horizontes Lejanos - Avtras cap Torrezno I Pin(1).cbr,las aventuras del capitan torrexno,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Santiago Sequeiros/La Mala Pena/La Mala Pena 2 [por zaragway][CRG](1).cbr,la mala pena,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Laura.Dean.me.ha.vuelto.a.dejar.-.Mariko.Tamaki.&.Rosemary.Valero-O´Connell.[jbabylon5][CRG].cbr,comic independiente americano,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Tillie Walden/En un Rayo de sol/En un rayo de sol Vol.1 - Tillie Walden [xavib](1).cbr,en un rayo de sol,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #082.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/075.- Flash v2 067 - Er-Murazor &amp; Boo$Ter Gold.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/JSA 81 (2006) (Lightray-DCP).cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/78 Jim Starlin's Dreadstar (Malibu Comics)(02 Ed.Norma) [por Onslaught][CRG].cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/The Wicked + The Divine 030.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/The Wicked + The Divine 020.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #065.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Monstress #018 por Zur y Arsenio Lupín.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/256.- Flash v2 227 por Talphin y KeysersozeCRG.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/068.- Flash v2 061 por Centigon y KeysersozeCRG.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/048.- Flash v2 042.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Transmetropolitan - #20 - Ciudad Solitaria 2 de 4.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/40 - Incorruptible #18.cbz,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/74 Dreadstar (First Comics) 62 USA [Trad por Skullpirates y Howard el patero s.][8vo Aniv CRG].cbz,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/076.- Flash v2 068 - Er-Murazor &amp; Boo&amp;Ter Gold.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/42 Dreadstar (First Comics) 30 USA [Traducido porke yo lo valgo][CRG].cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/11 Dreadstar Novela grafica (M.O. III) [Trad por Luindel y Howard el patero solitario][CRG].cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #084.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/65 Dreadstar (First Comics) 53 USA [Trad por Skullpirates y Howard el patero s.][8vo Aniv CRG].cbz,tebeos,D_grande,,,,,,
"/mnt/Datos/Descargas/Tebeos/Tebeos/Hiroaki Samura - La Espada del Inmortal 14 (Spanish, CRG) por Umbriel.cbr",tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/The Wicked + The Divine 037.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #068.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/224.- Flash v2 189 por Wild_CRG_.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #074.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Death Note #058.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/30 Dreadstar (Epic Comics)(18 Ed.Forum) [por Andtorres3][CRG].cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Transmetropolitan - #29 - Regreso a los Origenes 7 de 8.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/60 - Incorruptible #26.cbz,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Transmetropolitan - #42 - Sale el Sol 6 de 6.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Transmetropolitan - #06 - Mátame a Besos 2 de 2.howtoarsenio.blogspot.com.cbr,tebeos,D_grande,,,,,,
